# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.94, Γ₀=1.212766, m=0.164912, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=15.0 M☉/yr
# L_o=1.784e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 4.2658e+15 cm; τ_es(R) ≈ 1259
# r_in  (τ_es=100)  = 2.5087e+16 cm
# r_ph  (τ_es=1)    = 2.0505e+18 cm
# r_out (=10×r_ph)  = 2.0505e+19 cm
# n_cells=300, T_core=4466 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
209  2.62250655e+18  1.24565001e+07  8.98001746e-19  10000.0
210  2.68178889e+18  1.24576012e+07  8.58663069e-19  10000.0
211  2.74241132e+18  1.24587023e+07  8.21047698e-19  10000.0
212  2.80440413e+18  1.24598036e+07  7.85080140e-19  10000.0
213  2.86779830e+18  1.24608392e+07  7.50688209e-19  10000.0
214  2.93262551e+18  1.24617706e+07  7.17811566e-19  10000.0
215  2.99891815e+18  1.24627021e+07  6.86375829e-19  10000.0
216  3.06670935e+18  1.24636336e+07  6.56316784e-19  10000.0
217  3.13603299e+18  1.24645652e+07  6.27574140e-19  10000.0
218  3.20692371e+18  1.24654969e+07  6.00090248e-19  10000.0
219  3.27941692e+18  1.24664286e+07  5.73809982e-19  10000.0
220  3.35354886e+18  1.24673604e+07  5.48680629e-19  10000.0
221  3.42935657e+18  1.24682531e+07  5.24651788e-19  10000.0
222  3.50687793e+18  1.24690146e+07  5.01680268e-19  10000.0
223  3.58615167e+18  1.24697762e+07  4.79716309e-19  10000.0
224  3.66721742e+18  1.24705379e+07  4.58713949e-19  10000.0
225  3.75011568e+18  1.24712996e+07  4.38631090e-19  10000.0
226  3.83488786e+18  1.24720614e+07  4.19427473e-19  10000.0
227  3.92157635e+18  1.24728232e+07  4.01064607e-19  10000.0
228  4.01022444e+18  1.24735850e+07  3.83505681e-19  10000.0
229  4.10087645e+18  1.24743469e+07  3.66715498e-19  10000.0
230  4.19357766e+18  1.24751089e+07  3.50660404e-19  10000.0
231  4.28837440e+18  1.24758285e+07  3.35308214e-19  10000.0
232  4.38531405e+18  1.24764197e+07  3.20631438e-19  10000.0
233  4.48444503e+18  1.24770109e+07  3.06598139e-19  10000.0
234  4.58581690e+18  1.24776021e+07  2.93179044e-19  10000.0
235  4.68948030e+18  1.24781933e+07  2.80347273e-19  10000.0
236  4.79548703e+18  1.24787846e+07  2.68077119e-19  10000.0
237  4.90389007e+18  1.24793759e+07  2.56344001e-19  10000.0
238  5.01474358e+18  1.24799673e+07  2.45124415e-19  10000.0
239  5.12810296e+18  1.24805586e+07  2.34395884e-19  10000.0
240  5.24402485e+18  1.24811500e+07  2.24136916e-19  10000.0
